model_type,sequence_window,hidden_dim,learning_rate,dropout,num_layers,batch_size,weight_decay,random_seed,epochs_ran,best_epoch,final_train_loss,best_val_loss,is_default_config,validation_delta_n,validation_delta_MAE,validation_delta_RMSE,validation_delta_R2,validation_reconstructed_level_n,validation_reconstructed_level_MAE,validation_reconstructed_level_RMSE,validation_reconstructed_level_R2,asean_validation_delta_n,asean_validation_delta_MAE,asean_validation_delta_RMSE,asean_validation_delta_R2,asean_validation_reconstructed_level_n,asean_validation_reconstructed_level_MAE,asean_validation_reconstructed_level_RMSE,asean_validation_reconstructed_level_R2,test_delta_n,test_delta_MAE,test_delta_RMSE,test_delta_R2,test_reconstructed_level_n,test_reconstructed_level_MAE,test_reconstructed_level_RMSE,test_reconstructed_level_R2,asean_test_delta_n,asean_test_delta_MAE,asean_test_delta_RMSE,asean_test_delta_R2,asean_test_reconstructed_level_n,asean_test_reconstructed_level_MAE,asean_test_reconstructed_level_RMSE,asean_test_reconstructed_level_R2
LSTM,7,48,0.001,0.15,2,256,0.001,322,17,11,0.10564702935516834,0.16322480142116547,False,787,0.29567621621500884,0.40401088348617253,0.24873175781232992,787,0.29567621621500884,0.40401088348617253,0.5494439970883707,30,0.21351227590839067,0.31142096330871577,0.4290462626429813,30,0.21351227590839067,0.31142096330871577,0.18825111314339027,526,0.3882898055560915,0.47522664317254854,0.2898379093091864,526,0.3882898055560915,0.47522664317254854,0.33923056518594297,20,0.2642070736825467,0.2792536279058212,-1.5174686752878386,20,0.2642070736825467,0.2792536279058212,-1.5019310460972348
LSTM,5,48,0.001,0.15,1,256,0.001,272,12,6,0.11200500652194023,0.16966716945171356,False,789,0.2995397981724812,0.41190676948666594,0.21733734639987645,789,0.2995397981724812,0.41190676948666594,0.530489657398574,30,0.2136366960018873,0.33748815558341255,0.3294636846386212,30,0.21363669600188726,0.33748815558341255,0.04667038329381279,526,0.3635039606162351,0.4647297478324757,0.32086381696819866,526,0.3635039606162351,0.4647297478324757,0.3680985824135259,20,0.2074087847113609,0.22777959062028535,-0.6749276176126495,20,0.2074087847113609,0.22777959062028535,-0.664590089086861
LSTM,7,24,0.003,0.15,2,256,0.001,314,11,5,0.10533679649233818,0.17109067738056183,False,787,0.29832955624809276,0.4136310903625746,0.21252776326197154,787,0.29832955624809276,0.4136310903625746,0.5277314766355639,30,0.21386713920136294,0.3553511495502038,0.25660320907082523,30,0.21386713920136294,0.3553511495502038,-0.05691841220437399,526,0.3508818600675509,0.46711440395632736,0.3138762663268517,526,0.3508818600675509,0.46711440395632736,0.36159702460222953,20,0.1524515997208655,0.17575309628922697,0.002822668725201649,20,0.1524515997208655,0.17575309628922697,0.0089771729550715
LSTM,5,48,0.003,0.05,2,256,0.001,278,11,5,0.08330303125760773,0.17360877990722656,False,789,0.30281819893380085,0.41666387111046077,0.1991550504734202,789,0.3028181989338008,0.4166638711104608,0.5195823067661614,30,0.21389679232835765,0.32014537013676675,0.39660781125347455,30,0.21389679232835765,0.32014537013676675,0.1421320056152109,526,0.3878227897470554,0.47564004335061105,0.2886018303466955,526,0.3878227897470554,0.47564004335061105,0.3380804570512831,20,0.2369149741709232,0.26168711731415045,-1.2107066302312974,20,0.2369149741709232,0.26168711731415045,-1.1970623135385323
LSTM,3,24,0.003,0.15,1,256,0.0001,215,17,11,0.08727499439070623,0.16493777930736542,False,789,0.3006250636173018,0.4061253300023785,0.23915374611153906,789,0.3006250636173018,0.4061253300023785,0.543577065179993,30,0.21525944970324634,0.32995186981600266,0.35907616854815627,30,0.21525944970324634,0.32995186981600266,0.08877169427199694,526,0.40208183325014074,0.5042214245421299,0.20053673383239856,526,0.40208183325014074,0.5042214245421299,0.2561403974319473,20,0.248066510490235,0.29720361149665564,-1.8515079876585818,20,0.248066510490235,0.29720361149665564,-1.8339086927075856
GRU,7,24,0.001,0.15,2,256,0.0001,161,19,13,0.12512986920773983,0.15684080123901367,False,787,0.29897813345895186,0.3960313177180279,0.2781150907556742,787,0.29897813345895186,0.3960313177180279,0.5670659812209937,30,0.21587364273667337,0.3194105358856715,0.3993745817584571,30,0.21587364273667337,0.3194105358856715,0.1460656393418308,526,0.37759294784635644,0.47474059567945665,0.29128983121973917,526,0.37759294784635644,0.47474059567945665,0.34058150412341415,20,0.2245421112060547,0.23931442490797875,-0.8488606586841299,20,0.2245421112060547,0.23931442490797875,-0.8374496283814608
GRU,7,24,0.003,0.15,2,256,0.0001,169,13,7,0.09885425269603729,0.1640247106552124,False,787,0.29737277351211866,0.4049996377246977,0.24505003210975174,787,0.29737277351211866,0.4049996377246977,0.5472359660240729,30,0.2161802906254927,0.30895614913265396,0.4380483906202205,30,0.2161802906254927,0.30895614913265396,0.2010498162374299,526,0.40191029410262524,0.4995675136784087,0.21522655097769838,526,0.4019102941026253,0.4995675136784087,0.2698085195407739,20,0.22762626630514865,0.2477267804136701,-0.9811271249333942,20,0.22762626630514865,0.2477267804136701,-0.9688997558507808
LSTM,7,24,0.001,0.15,2,256,0.0001,305,16,10,0.1254488192498684,0.17159369587898254,False,787,0.30531694351937594,0.414238689833023,0.21021256430571178,787,0.30531694351937594,0.414238689833023,0.5263429888370647,30,0.21645301812688506,0.34543002778214343,0.2975338401712132,30,0.21645301812688506,0.34543002778214343,0.0012743835690295358,526,0.3608300088276881,0.4704029033465035,0.30418159738964945,526,0.3608300088276881,0.4704029033465035,0.3525766319365028,20,0.15671786238849167,0.19548448372452898,-0.23364729497868764,20,0.15671786238849167,0.19548448372452898,-0.2260333157425094
GRU,7,48,0.003,0.15,2,256,0.001,186,10,4,0.10247111059725285,0.16404716670513153,False,787,0.29402807806551534,0.40502736893604613,0.244946642417897,787,0.29402807806551534,0.40502736893604613,0.547173960413176,30,0.2170610242287318,0.32980858889926945,0.3596326873835627,30,0.2170610242287318,0.32980858889926945,0.0895629204530306,526,0.3793338668418928,0.4817728251338005,0.27013838710037164,526,0.3793338668418928,0.4817728251338005,0.3209011692259822,20,0.20286207167506215,0.22883293704178514,-0.690454543295629,20,0.20286207167506215,0.22883293704178514,-0.6800211837407992
GRU,5,48,0.001,0.15,1,256,0.001,128,11,5,0.1207504194568504,0.16704970598220825,False,789,0.2990093377543889,0.40871714172046947,0.2294116174984384,789,0.2990093377543889,0.40871714172046947,0.5377328740437938,30,0.2179917581920822,0.3439628257096414,0.3034885683473527,30,0.2179917581920822,0.3439628257096414,0.009740470490345876,526,0.35342421524422135,0.45225491645487886,0.3568348309246927,526,0.35342421524422135,0.45225491645487886,0.4015677676506597,20,0.174457148809731,0.19590383094166186,-0.2389457353111999,20,0.174457148809731,0.19590383094166186,-0.23129905449585886
